gene_id,a.value,m.value,p.value,q.value,estimatedDEG,expression
ASIC4,0.5923113482590648,-3.4006795650400283,0.018165146687984735,0.3631967873463683,0,cko-high
SPC25,8.273638426354243,0.5192240209223531,0.01818042184629407,0.3631967873463683,0,cko-low
GM21009,5.972842472279851,-0.6962014732080597,0.01818290436228114,0.3631967873463683,0,cko-high
COX6B2,5.864818608766744,0.7849800385520904,0.018213249608407815,0.36361073914471637,0,cko-low
GM7336,7.5071980423587465,0.4654185955437038,0.01824498232507718,0.363945705982344,0,cko-low
GM45926,-3.1143336433984574,2.7905473626719846,0.018249288548807734,0.363945705982344,0,cko-low
ECHS1,11.346454398170104,0.2573364880874571,0.01826100956690795,0.3639873805657095,0,cko-low
DMWD,9.380539911495106,0.2630064733355528,0.0182766407680851,0.3641069098088941,0,cko-low
4833404L02RIK,1.8992233728692307,-1.9327281388640805,0.01832306854997385,0.36483951877798293,0,cko-high
GSTK1,8.821151667368499,0.3727615058841707,0.018344959414935035,0.3650830469769483,0,cko-low
GM43072,4.4555449553387465,-0.8695883192351683,0.01837348662591098,0.36532640851227244,0,cko-high
GM13521,-3.1143336433984574,2.8251830879871322,0.018376521554345628,0.36532640851227244,0,cko-low
TNFRSF18,5.5921508753393665,-0.6135787740606542,0.018390869963112885,0.3654194309389917,0,cko-high
ZUP1,8.391461878846638,-0.34174228219988656,0.01840517036467204,0.3655114022184371,0,cko-high
SRP14,8.867725154560208,0.29113740396470966,0.01842851018785429,0.3655698211177997,0,cko-low
ATP6V1E1,11.644996695928771,0.24534024626103346,0.018433507678517803,0.3655698211177997,0,cko-low
GM43080,6.448853592696602,-0.5014644108734423,0.01844042339617546,0.3655698211177997,0,cko-high
DYNLT1A,4.282942331631397,1.0331014523293303,0.018456327610878828,0.3655698211177997,0,cko-low
9630013D21RIK,5.920950432409815,-0.5841755533961539,0.018465309252324275,0.3655698211177997,0,cko-high
TMEM11,8.27275764033758,0.32560615497632206,0.018482950420828707,0.3655698211177997,0,cko-low
MACO1,9.967813408667027,0.24829047959320327,0.018489991127419222,0.3655698211177997,0,cko-low
IDE,11.144792353515456,0.6104046747132799,0.018504145673511066,0.3655698211177997,0,cko-low
2900076A07RIK,5.586833459230023,-0.6270002247665722,0.018504175107737192,0.3655698211177997,0,cko-high
GM37651,4.7231592627840815,-0.9015849289153861,0.018504844088652384,0.3655698211177997,0,cko-high
GM3375,8.33497467379529,0.3042250156130013,0.0185154811789313,0.3655888530377073,0,cko-low
GM7102,4.080920550800378,-0.9906262450198331,0.018556352540215378,0.36620453013045406,0,cko-high
GM43483,4.6729610365592595,-0.9243525025128871,0.018594438105995828,0.3666057969151261,0,cko-high
EDF1,10.509097225444624,0.29461276430030914,0.018605287360219304,0.3666057969151261,0,cko-low
PDE4C,11.121260565335522,-0.2879031626616193,0.018606192913943113,0.3666057969151261,0,cko-high
9330159M07RIK,5.16551281104037,-0.8723209366603228,0.018620310489784603,0.3666057969151261,0,cko-high
GM4865,5.726632718859722,0.5920696261193159,0.018625188666306153,0.3666057969151261,0,cko-low
ZFP553,8.170530564804045,0.31148455173579137,0.01869947807983393,0.3677173607004349,0,cko-low
TMC6,9.027617224374964,0.28707495039784625,0.018701505517836,0.3677173607004349,0,cko-low
PIK3R6,5.802443554349981,0.6400275125640089,0.018717527489750314,0.3677173607004349,0,cko-low
SAMD1,8.953655412836948,0.3381788459010817,0.018723641374048368,0.3677173607004349,0,cko-low
GM43259,5.91205812252866,-0.6923254999172048,0.018730311159725264,0.3677173607004349,0,cko-high
GM6055,8.737391268879524,0.331450805383815,0.018745798435372982,0.36772242733875066,0,cko-low
AK3,11.743426687111306,-0.25650821114387945,0.018756518289134612,0.36772242733875066,0,cko-high
